This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     658.880288     0.401494     10202.820853     12.465435     10861.701141
259.000000     665.904006     0.411939     10426.133416     13.418447     11092.037422
481.000000     672.061664     0.421234     10631.286070     14.360278     11303.347734
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.052686, a0 = 19.585892MeV, a1 = -0.997757, a2 = -0.000541(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1435.743380     1.373981     12999.779663     18.355268     14435.523043
63.582000     1440.815200     1.386597     12932.284945     18.381442     14373.100145
156.047000     1448.267328     1.405274     12834.051238     18.420005     14282.318566
169.443000     1449.354563     1.408013     12819.811670     18.425642     14269.166232
172.069000     1449.567919     1.408551     12817.020072     18.426749     14266.587991
182.743000     1450.435925     1.410741     12805.672171     18.431251     14256.108096
205.342000     1452.277745     1.415395     12781.642191     18.440811     14233.919935
207.855000     1452.482897     1.415914     12778.969713     18.441877     14231.452610
230.910000     1454.368246     1.420690     12754.448306     18.451671     14208.816552
256.923000     1456.502480     1.426109     12726.773559     18.462769     14183.276039
284.598000     1458.781257     1.431910     12697.322216     18.474630     14156.103473
287.127000     1458.989919     1.432442     12694.630455     18.475716     14153.620374
290.666000     1459.282032     1.433187     12690.863570     18.477238     14150.145603
300.212000     1460.070665     1.435200     12680.702166     18.481346     14140.772831
316.932000     1461.454413     1.438735     12662.901758     18.488559     14124.356171
325.867000     1462.195152     1.440631     12653.388083     18.492421     14115.583235
346.580000     1463.915761     1.445039     12631.330067     18.501398     14095.245828
352.430000     1464.402586     1.446288     12625.099295     18.503940     14089.501881
360.882000     1465.106626     1.448096     12616.096460     18.507616     14081.203086
362.715000     1465.259418     1.448488     12614.143890     18.508414     14079.403308
372.077000     1466.040392     1.450496     12604.170582     18.512493     14070.210973
429.755000     1470.873785     1.462959     12542.703820     18.537772     14013.577605
439.753000     1471.715471     1.465137     12532.045097     18.542179     14003.760568
448.200000     1472.427479     1.466981     12523.038953     18.545909     13995.466431
462.087000     1473.599812     1.470021     12508.230875     18.552053     13981.830688
470.140000     1474.280660     1.471788     12499.642699     18.555622     13973.923359
482.153000     1475.297702     1.474430     12486.829920     18.560957     13962.127622
499.724000     1476.788304     1.478309     12468.086010     18.568779     13944.874314
511.750000     1477.810574     1.480972     12455.255114     18.574147     13933.065688
523.044000     1478.772155     1.483481     12443.203630     18.579198     13921.975785
541.550000     1480.350994     1.487606     12423.453120     18.587496     13903.804114
550.200000     1481.090346     1.489540     12414.219997     18.591384     13895.310343
556.840000     1481.658491     1.491028     12407.131760     18.594373     13888.790251
575.440000     1483.252748     1.495208     12387.273308     18.602763     13870.526056
582.160000     1483.829742     1.496722     12380.097606     18.605801     13863.927348
609.040000     1486.143073     1.502805     12351.389282     18.617990     13837.532355
628.880000     1487.856050     1.507320     12330.194120     18.627024     13818.050170
647.300000     1489.450639     1.511531     12310.511608     18.635439     13799.962247
680.110000     1492.301056     1.519078     12275.442384     18.650498     13767.743440
757.660000     1499.090299     1.537156     12192.498905     18.686442     13691.589204
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.014365, a0 = 14.572350MeV, a1 = -0.997292, a2 = -0.000860(MeV)^-1



Tritons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1940.820342     1.982034     12650.121475     20.190434     14590.941817
134.243000     1955.202806     2.021557     12504.781874     20.265158     14459.984680
206.244000     1963.023791     2.043275     12426.719213     20.305965     14389.743005
303.130000     1973.668413     2.073090     12321.552527     20.361703     14295.220941
511.766000     1997.073833     2.139697     12094.587748     20.485070     14091.661581
581.990000     2005.104471     2.162886     12018.037416     20.527659     14023.141888
589.136000     2005.926076     2.165269     12010.243114     20.532023     14016.169190
618.362000     2009.294849     2.175055     11978.356872     20.549934     13987.651720
625.513000     2010.121215     2.177460     11970.552807     20.554331     13980.674022
647.230000     2012.635899     2.184791     11946.847278     20.567721     13959.483177
685.775000     2017.118062     2.197900     11904.753423     20.591620     13921.871485
718.730000     2020.969520     2.209207     11868.744355     20.612190     13889.713875
