This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     591.162147     3.059613     8420.190874     67.797485     9011.353021
669.670000     605.008839     3.234784     8734.945924     75.513152     9339.954763
962.100000     611.288226     3.316207     8883.356653     79.406639     9494.644879
1326.980000     619.333089     3.422350     9079.247708     84.816070     9698.580797
1412.040000     621.243028     3.447853     9126.767018     86.176845     9748.010046
1547.060000     624.302263     3.488945     9203.734897     88.422716     9828.037160
1861.210000     631.553788     3.587553     9390.604064     94.098975     10022.157852
2011.510000     635.091022     3.636271     9484.158486     97.065156     10119.249508
2062.220000     636.294591     3.652940     9516.369913     98.106422     10152.664504
2081.320000     636.749257     3.659249     9528.589500     98.504159     10165.338756
2092.580000     637.017639     3.662977     9535.815872     98.740082     10172.833512
2207.850000     639.779898     3.701477     9610.775451     101.218868     10250.555350
2336.560000     642.896442     3.745214     9696.665663     104.131441     10339.562104
2404.790000     644.562521     3.768727     9743.175765     105.741761     10387.738286
2429.000000     645.156046     3.777125     9759.847196     106.324761     10405.003242
2497.480000     646.841600     3.801038     9807.492315     108.007991     10454.333915
2506.450000     647.063125     3.804187     9813.787493     108.232302     10460.850618
2512.000000     647.200275     3.806138     9817.688877     108.371542     10464.889152
2535.790000     647.788912     3.814518     9834.467629     108.972351     10482.256541
2547.510000     648.079346     3.818657     9842.766889     109.270719     10490.846235
2673.210000     651.212968     3.863490     9933.195289     112.573591     10584.408258
2677.100000     651.310491     3.864891     9936.035995     112.678908     10587.346486
2678.700000     651.350613     3.865467     9937.205160     112.722282     10588.555773
2682.000000     651.433382     3.866656     9939.617947     112.811844     10591.051329
2696.600000     651.799857     3.871923     9950.315147     113.209761     10602.115004
2716.680000     652.304650     3.879185     9965.087623     113.761533     10617.392273
2776.700000     653.818789     3.901019     10009.664794     115.442616     10663.483583
2780.180000     653.906824     3.902291     10012.269044     115.541579     10666.175869
2806.300000     654.568450     3.911858     10031.885581     116.289719     10686.454032
2832.810000     655.241508     3.921604     10051.921917     117.058812     10707.163424
2857.800000     655.877411     3.930827     10070.927968     117.793014     10726.805379
2888.800000     656.668191     3.942314     10094.666930     118.716473     10751.335121
2956.700000     658.407825     3.967659     10147.302744     120.789847     10805.710569
2977.800000     658.950546     3.975586     10163.841916     121.448785     10822.792462
3032.100000     660.351890     3.996101     10206.812501     123.177699     10867.164391
3043.400000     660.644364     4.000391     10215.829729     123.543639     10876.474092
3093.400000     661.942024     4.019459     10256.044953     125.189078     10917.986977
3101.300000     662.147583     4.022484     10262.446687     125.453049     10924.594270
3127.900000     662.840783     4.032698     10284.099075     126.350063     10946.939857
3225.400000     665.395772     4.070483     10364.775958     129.750266     11030.171730
3248.000000     665.991196     4.079320     10383.778619     130.564689     11049.769815
3263.600000     666.402901     4.085437     10396.963499     131.132857     11063.366401
3291.000000     667.127424     4.096216     10420.257642     132.142889     11087.385065
3292.600000     667.169787     4.096847     10421.623288     132.202352     11088.793074
3297.430000     667.297707     4.098752     10425.749470     132.382181     11093.047178
3307.600000     667.567237     4.102768     10434.455455     132.762440     11102.022692
3309.700000     667.622923     4.103598     10436.256190     132.841233     11103.879113
3406.400000     670.198582     4.142104     10520.326171     136.574331     11190.524753
3418.300000     670.517104     4.146881     10530.830859     137.048406     11201.347962
3425.900000     670.720708     4.149937     10537.558375     137.352922     11208.279084
3429.900000     670.827925     4.151546     10541.105036     137.513744     11211.932962
3461.900000     671.687061     4.164458     10569.625144     138.814168     11241.312205
3464.900000     671.767733     4.165672     10572.312389     138.937361     11244.080122
3476.100000     672.069102     4.170208     10582.365384     139.399246     11254.434486
3537.400000     673.724007     4.195171     10637.972392     141.983502     11311.696399
3540.100000     673.797111     4.196276     10640.444726     142.099569     11314.241837
3541.100000     673.824191     4.196685     10641.360906     142.142606     11315.185097
3565.300000     674.480283     4.206610     10663.615486     143.192250     11338.095769
3570.100000     674.610589     4.208583     10668.048685     143.402323     11342.659275
3575.000000     674.743669     4.210598     10672.580799     143.617423     11347.324468
3580.900000     674.903987     4.213027     10678.046653     143.877295     11352.950639
3583.500000     674.974663     4.214098     10680.458401     143.992120     11355.433063
3607.000000     675.614227     4.223797     10702.342573     145.038508     11377.956800
3649.000000     676.760709     4.241219     10741.844540     146.947890     11418.605249
3657.900000     677.004221     4.244925     10750.280401     147.359125     11427.284622
3681.000000     677.637186     4.254568     10772.283816     148.437580     11449.921002
3719.000000     678.681352     4.270505     10808.824567     150.247365     11487.505920
3740.100000     679.262717     4.279395     10829.302743     151.272009     11508.565460
3775.000000     680.226795     4.294161     10863.475726     152.998782     11543.702521
3786.300000     680.539613     4.298959     10874.622078     153.566634     11555.161690
3867.200000     682.788731     4.333556     10955.624058     157.763068     11638.412790
3888.800000     683.392094     4.342867     10977.617484     158.924071     11661.009579
3892.000000     683.481584     4.344249     10980.889220     159.097585     11664.370804
3895.100000     683.568303     4.345588     10984.062046     159.266052     11667.630349
3902.100000     683.764212     4.348615     10991.238589     159.647831     11675.002801
3960.100000     685.392369     4.373822     11051.357068     162.886103     11736.749438
3978.400000     685.907909     4.381823     11070.573227     163.936513     11756.481136
4017.100000     687.001053     4.398817     11111.613129     166.205282     11798.614182
4039.200000     687.627079     4.408568     11135.299326     167.530697     11822.926405
4055.000000     688.075440     4.415560     11152.346895     168.491984     11840.422335
4110.500000     689.655652     4.440258     11212.997498     171.962803     11902.653150
4117.000000     689.841261     4.443164     11220.180541     172.379200     11910.021803
4125.300000     690.078435     4.446880     11229.377511     172.914017     11919.455946
4130.440000     690.225404     4.449183     11235.086990     173.246980     11925.312393
4133.200000     690.304350     4.450421     11238.157219     173.426331     11928.461569
4145.200000     690.647834     4.455809     11251.542293     174.210708     11942.190127
4147.800000     690.722307     4.456977     11254.450197     174.381649     11945.172504
4156.240000     690.964183     4.460774     11263.908977     174.939006     11954.873160
4182.000000     691.703610     4.472393     11292.962467     176.663758     11984.666076
4189.000000     691.904852     4.475559     11300.905872     177.138701     11992.810724
4222.100000     692.858242     4.490575     11338.752206     179.421820     12031.610448
4286.900000     694.733362     4.520201     11414.248070     184.078516     12108.981432
