#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=0	f(2d)=0	b(proj)=0	f(proj)=0
Pro	6523.76	733.441	6517.17	733.591
	b(2d)=0	f(2d)=1	b(proj)=0	f(proj)=1
Pro	6591.98	737.553	6594.91	739.081
	b(2d)=0	f(2d)=2	b(proj)=0	f(proj)=2
Pro	6654.94	721.528	6655.39	720.391
	b(2d)=0	f(2d)=3	b(proj)=0	f(proj)=3
Pro	6730.35	735.342	6731	734.908
	b(2d)=0	f(2d)=4	b(proj)=0	f(proj)=4
Pro	6801.61	729.477	6800.49	730.357
	b(2d)=0	f(2d)=5	b(proj)=0	f(proj)=5
Pro	6868.72	734.086	6867.96	735.037
	b(2d)=0	f(2d)=6	b(proj)=0	f(proj)=6
Pro	6935.87	724.807	6928.59	723.12
	b(2d)=0	f(2d)=7	b(proj)=0	f(proj)=7
Pro	6973.91	715.623	6986.15	711.324
	b(2d)=1	f(2d)=0	b(proj)=1	f(proj)=0
Pro	6317.15	750.869	6312.45	748.925
	b(2d)=1	f(2d)=1	b(proj)=1	f(proj)=1
Pro	6371.27	746.531	6366.62	746.918
	b(2d)=1	f(2d)=2	b(proj)=1	f(proj)=2
Pro	6453.48	747.758	6449.51	747.162
	b(2d)=1	f(2d)=3	b(proj)=1	f(proj)=3
Pro	6537.72	730.211	6536.53	729.121
	b(2d)=1	f(2d)=4	b(proj)=1	f(proj)=4
Pro	6608.52	736.658	6612.12	737.749
	b(2d)=1	f(2d)=5	b(proj)=1	f(proj)=5
Pro	6676.69	709.423	6675.97	710.75
	b(2d)=1	f(2d)=6	b(proj)=1	f(proj)=6
Pro	6746.02	722.878	6748.06	722.952
	b(2d)=1	f(2d)=7	b(proj)=1	f(proj)=7
Pro	6795	731	6788.49	731.509
	b(2d)=2	f(2d)=0	b(proj)=2	f(proj)=0
Pro	6660.37	747.561	6656.67	748.274
	b(2d)=2	f(2d)=1	b(proj)=2	f(proj)=1
Pro	6726.41	756.446	6726.56	756.196
	b(2d)=2	f(2d)=2	b(proj)=2	f(proj)=2
Pro	6791.21	745.836	6790.58	746.844
	b(2d)=2	f(2d)=3	b(proj)=2	f(proj)=3
Pro	6855.42	766.745	6851.97	765.43
	b(2d)=2	f(2d)=4	b(proj)=2	f(proj)=4
Pro	6920.06	733.273	6911.85	734.896
	b(2d)=2	f(2d)=5	b(proj)=2	f(proj)=5
Pro	6986.59	744.962	6980.04	746.447
	b(2d)=2	f(2d)=6	b(proj)=2	f(proj)=6
Pro	7055.37	725.588	7048.51	725.912
	b(2d)=2	f(2d)=7	b(proj)=2	f(proj)=7
Pro	7111.23	755.404	7107.89	752.948
	b(2d)=3	f(2d)=0	b(proj)=3	f(proj)=0
Pro	6797.51	809.314	6789.55	808.633
	b(2d)=3	f(2d)=1	b(proj)=3	f(proj)=1
Pro	6869.07	794.287	6868.12	797.399
	b(2d)=3	f(2d)=2	b(proj)=3	f(proj)=2
Pro	6936.28	746.585	6936.79	745.749
	b(2d)=3	f(2d)=3	b(proj)=3	f(proj)=3
Pro	7011.4	767.562	7011.23	767.992
	b(2d)=3	f(2d)=4	b(proj)=3	f(proj)=4
Pro	7078.95	741.164	7080.1	740.843
	b(2d)=3	f(2d)=5	b(proj)=3	f(proj)=5
Pro	7155.75	779.854	7153.18	780.084
	b(2d)=3	f(2d)=6	b(proj)=3	f(proj)=6
Pro	7228.96	758.222	7225.62	758.853
	b(2d)=3	f(2d)=7	b(proj)=3	f(proj)=7
Pro	7295.61	772.745	7293.67	772.499
	b(2d)=4	f(2d)=0	b(proj)=4	f(proj)=0
Pro	6703.74	943.666	6705.05	943.581
	b(2d)=4	f(2d)=1	b(proj)=4	f(proj)=1
Pro	6766.48	916.704	6766.63	916.444
	b(2d)=4	f(2d)=2	b(proj)=4	f(proj)=2
Pro	6825.35	873.179	6825.22	872.985
	b(2d)=4	f(2d)=3	b(proj)=4	f(proj)=3
Pro	6891.39	854.788	6889.94	855.045
	b(2d)=4	f(2d)=4	b(proj)=4	f(proj)=4
Pro	6952.04	848.191	6949.38	846.423
	b(2d)=4	f(2d)=5	b(proj)=4	f(proj)=5
Pro	7028.48	927.427	7028.62	929.422
	b(2d)=4	f(2d)=6	b(proj)=4	f(proj)=6
Pro	7100.3	893.149	7097.63	892.361
	b(2d)=4	f(2d)=7	b(proj)=4	f(proj)=7
Pro	7148.12	929.575	7152.11	929.429
	b(2d)=5	f(2d)=0	b(proj)=5	f(proj)=0
Pro	6764.86	981.243	6765.31	981.22
	b(2d)=5	f(2d)=1	b(proj)=5	f(proj)=1
Pro	6828.94	928.661	6826.29	929.441
	b(2d)=5	f(2d)=2	b(proj)=5	f(proj)=2
Pro	6907.99	959.017	6909.14	958.479
	b(2d)=5	f(2d)=3	b(proj)=5	f(proj)=3
Pro	6983.82	891.086	6978.36	893.41
	b(2d)=5	f(2d)=4	b(proj)=5	f(proj)=4
Pro	7050.32	1004.05	7046.69	1005.05
	b(2d)=5	f(2d)=5	b(proj)=5	f(proj)=5
Pro	7118.02	897.738	7114.87	897.237
	b(2d)=5	f(2d)=6	b(proj)=5	f(proj)=6
Pro	7185.3	934.761	7180.07	933.072
	b(2d)=5	f(2d)=7	b(proj)=5	f(proj)=7
Pro	7240.07	850.129	7234.72	849.394
	b(2d)=6	f(2d)=0	b(proj)=6	f(proj)=0
Pro	6656.62	880.861	6655.3	880.571
	b(2d)=6	f(2d)=1	b(proj)=6	f(proj)=1
Pro	6723.36	962.218	6722.57	963.121
	b(2d)=6	f(2d)=2	b(proj)=6	f(proj)=2
Pro	6789.69	1018	6785.08	1018.6
	b(2d)=6	f(2d)=3	b(proj)=6	f(proj)=3
Pro	6864.54	927.433	6860	927.143
	b(2d)=6	f(2d)=4	b(proj)=6	f(proj)=4
Pro	6932.86	923.348	6931.75	922.668
	b(2d)=6	f(2d)=5	b(proj)=6	f(proj)=5
Pro	7003.1	911.65	7004.02	912.075
	b(2d)=6	f(2d)=6	b(proj)=6	f(proj)=6
Pro	7074.59	938.392	7075.51	941.124
	b(2d)=6	f(2d)=7	b(proj)=6	f(proj)=7
Pro	7138.22	873.663	7132.6	875.571
	b(2d)=7	f(2d)=0	b(proj)=7	f(proj)=0
Pro	6566.3	977.145	6569.04	976.476
	b(2d)=7	f(2d)=1	b(proj)=7	f(proj)=1
Pro	6618.13	937.172	6617.22	937.463
	b(2d)=7	f(2d)=2	b(proj)=7	f(proj)=2
Pro	6685.31	1007.32	6682.12	1006.69
	b(2d)=7	f(2d)=3	b(proj)=7	f(proj)=3
Pro	6751.81	935.476	6749.74	936.029
	b(2d)=7	f(2d)=4	b(proj)=7	f(proj)=4
Pro	6811.8	982.501	6808.69	983.625
	b(2d)=7	f(2d)=5	b(proj)=7	f(proj)=5
Pro	6876.32	937.936	6876.06	938.552
	b(2d)=7	f(2d)=6	b(proj)=7	f(proj)=6
Pro	6944.22	1016.17	6943.47	1016.93
	b(2d)=7	f(2d)=7	b(proj)=7	f(proj)=7
Pro	7002.54	927.47	6996.41	928.048
