#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=0	f(2d)=0	b(proj)=0	f(proj)=0
Deu	9575.12	1190.71	9575.12	1190.71
	b(2d)=0	f(2d)=1	b(proj)=0	f(proj)=1
Deu	9575.98	1202.98	9575.98	1204.07
	b(2d)=0	f(2d)=2	b(proj)=0	f(proj)=2
Deu	9608.77	1173.56	9607.87	1173.56
	b(2d)=0	f(2d)=3	b(proj)=0	f(proj)=3
Deu	9629.41	1214.73	9629.41	1215.49
	b(2d)=0	f(2d)=4	b(proj)=0	f(proj)=4
Deu	9650.71	1212.9	9646.82	1215.87
	b(2d)=0	f(2d)=5	b(proj)=0	f(proj)=5
Deu	9659.89	1227.23	9654	1226.78
	b(2d)=0	f(2d)=6	b(proj)=0	f(proj)=6
Deu	9655.36	1219.61	9643.48	1220.05
	b(2d)=0	f(2d)=7	b(proj)=0	f(proj)=7
Deu	9633.69	1206.16	9629.25	1206.29
	b(2d)=1	f(2d)=0	b(proj)=1	f(proj)=0
Deu	9333.38	1210.86	9333.38	1210.86
	b(2d)=1	f(2d)=1	b(proj)=1	f(proj)=1
Deu	9334.6	1212.43	9334.6	1212.43
	b(2d)=1	f(2d)=2	b(proj)=1	f(proj)=2
Deu	9364.73	1221.71	9364.73	1221.71
	b(2d)=1	f(2d)=3	b(proj)=1	f(proj)=3
Deu	9406.05	1202.2	9402.42	1202.93
	b(2d)=1	f(2d)=4	b(proj)=1	f(proj)=4
Deu	9421.82	1221.72	9409.78	1224.3
	b(2d)=1	f(2d)=5	b(proj)=1	f(proj)=5
Deu	9433.82	1172.3	9424.75	1173.07
	b(2d)=1	f(2d)=6	b(proj)=1	f(proj)=6
Deu	9427.7	1225.83	9420.97	1226.95
	b(2d)=1	f(2d)=7	b(proj)=1	f(proj)=7
Deu	9412.79	1233.83	9409.3	1233.4
	b(2d)=2	f(2d)=0	b(proj)=2	f(proj)=0
Deu	9689.48	1210.11	9689.48	1210.11
	b(2d)=2	f(2d)=1	b(proj)=2	f(proj)=1
Deu	9718.31	1233.18	9718.31	1233.18
	b(2d)=2	f(2d)=2	b(proj)=2	f(proj)=2
Deu	9732.23	1222.14	9732.23	1222.14
	b(2d)=2	f(2d)=3	b(proj)=2	f(proj)=3
Deu	9731.75	1270.03	9730.57	1270.75
	b(2d)=2	f(2d)=4	b(proj)=2	f(proj)=4
Deu	9735.24	1225.52	9733.64	1227
	b(2d)=2	f(2d)=5	b(proj)=2	f(proj)=5
Deu	9746.94	1241.75	9738.88	1244.76
	b(2d)=2	f(2d)=6	b(proj)=2	f(proj)=6
Deu	9732.55	1220.32	9721.32	1219.58
	b(2d)=2	f(2d)=7	b(proj)=2	f(proj)=7
Deu	9742.05	1289.16	9735.59	1290.21
	b(2d)=3	f(2d)=0	b(proj)=3	f(proj)=0
Deu	9907.69	1314.95	9907.69	1314.95
	b(2d)=3	f(2d)=1	b(proj)=3	f(proj)=1
Deu	9922.32	1284.4	9922.32	1284.4
	b(2d)=3	f(2d)=2	b(proj)=3	f(proj)=2
Deu	9947.71	1228.57	9947.18	1228.57
	b(2d)=3	f(2d)=3	b(proj)=3	f(proj)=3
Deu	9958.39	1266.33	9951.42	1265.94
	b(2d)=3	f(2d)=4	b(proj)=3	f(proj)=4
Deu	9975.88	1235.89	9966.02	1238.2
	b(2d)=3	f(2d)=5	b(proj)=3	f(proj)=5
Deu	9978.28	1293.83	9974.01	1294.08
	b(2d)=3	f(2d)=6	b(proj)=3	f(proj)=6
Deu	10017	1278.24	10009.6	1280.53
	b(2d)=3	f(2d)=7	b(proj)=3	f(proj)=7
Deu	9995.1	1312.14	9988.39	1313.22
	b(2d)=4	f(2d)=0	b(proj)=4	f(proj)=0
Deu	9831.51	1416.47	9831.51	1416.47
	b(2d)=4	f(2d)=1	b(proj)=4	f(proj)=1
Deu	9833.97	1399.6	9833.97	1399.6
	b(2d)=4	f(2d)=2	b(proj)=4	f(proj)=2
Deu	9836.75	1357.09	9836.75	1356.83
	b(2d)=4	f(2d)=3	b(proj)=4	f(proj)=3
Deu	9850.8	1342.9	9848.19	1343.57
	b(2d)=4	f(2d)=4	b(proj)=4	f(proj)=4
Deu	9853.42	1328.11	9848.59	1328.63
	b(2d)=4	f(2d)=5	b(proj)=4	f(proj)=5
Deu	9862.59	1430.55	9857.24	1432.84
	b(2d)=4	f(2d)=6	b(proj)=4	f(proj)=6
Deu	9876.64	1403.19	9871.42	1404.18
	b(2d)=4	f(2d)=7	b(proj)=4	f(proj)=7
Deu	9845.09	1461.87	9840.67	1464.85
	b(2d)=5	f(2d)=0	b(proj)=5	f(proj)=0
Deu	9834.58	1466.87	9834.58	1466.87
	b(2d)=5	f(2d)=1	b(proj)=5	f(proj)=1
Deu	9859.88	1408.83	9859.88	1408.83
	b(2d)=5	f(2d)=2	b(proj)=5	f(proj)=2
Deu	9898.76	1445.93	9898.76	1445.93
	b(2d)=5	f(2d)=3	b(proj)=5	f(proj)=3
Deu	9913.02	1381.24	9911.08	1381.77
	b(2d)=5	f(2d)=4	b(proj)=5	f(proj)=4
Deu	9895.26	1524.55	9889.3	1527.05
	b(2d)=5	f(2d)=5	b(proj)=5	f(proj)=5
Deu	9921.23	1419.82	9920.29	1419.32
	b(2d)=5	f(2d)=6	b(proj)=5	f(proj)=6
Deu	9908.83	1459.62	9902.2	1460.48
	b(2d)=5	f(2d)=7	b(proj)=5	f(proj)=7
Deu	9895.42	1353.11	9884.12	1351.9
	b(2d)=6	f(2d)=0	b(proj)=6	f(proj)=0
Deu	9829.7	1319.18	9829.7	1319.18
	b(2d)=6	f(2d)=1	b(proj)=6	f(proj)=1
Deu	9824.16	1421.04	9824.16	1421.04
	b(2d)=6	f(2d)=2	b(proj)=6	f(proj)=2
Deu	9824.08	1473.49	9824.08	1473.49
	b(2d)=6	f(2d)=3	b(proj)=6	f(proj)=3
Deu	9863.27	1380.85	9860.82	1383.64
	b(2d)=6	f(2d)=4	b(proj)=6	f(proj)=4
Deu	9875	1403.54	9871.5	1405.91
	b(2d)=6	f(2d)=5	b(proj)=6	f(proj)=5
Deu	9864.2	1405.4	9861.76	1407.08
	b(2d)=6	f(2d)=6	b(proj)=6	f(proj)=6
Deu	9874.13	1438.08	9866.41	1438.08
	b(2d)=6	f(2d)=7	b(proj)=6	f(proj)=7
Deu	9885.56	1370.19	9878.17	1369.73
	b(2d)=7	f(2d)=0	b(proj)=7	f(proj)=0
Deu	9580.13	1464.05	9580.13	1464.05
	b(2d)=7	f(2d)=1	b(proj)=7	f(proj)=1
Deu	9582.3	1427.85	9582.3	1427.85
	b(2d)=7	f(2d)=2	b(proj)=7	f(proj)=2
Deu	9621.4	1503.34	9621.4	1503.34
	b(2d)=7	f(2d)=3	b(proj)=7	f(proj)=3
