Response function created for file:alfna    at 10-Mar-21 15:46:40
Calibration (a0,a1)=   0.000   7.000  FWHM=  6.7700

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
   280.0      36.8   0.774  0.7398  0.2602  0.0000  0.0000  0.0000
   560.0      61.4   0.865  0.6263  0.3737  0.0000  0.0000  0.0000
   840.0      73.8   0.933  0.5716  0.4284  0.0000  0.0000  0.0000
  1120.0      84.0   0.977  0.4845  0.5106  0.0049  0.0000  0.0000
  1400.0      94.3   0.994  0.4258  0.5642  0.0082  0.0000  0.0017
  1680.0     106.3   1.005  0.3851  0.5999  0.0103  0.0000  0.0048
  1960.0     118.1   1.014  0.3565  0.6219  0.0131  0.0000  0.0085
  2240.0     129.7   1.020  0.3292  0.6421  0.0162  0.0000  0.0125
  2520.0     139.9   1.025  0.2993  0.6651  0.0192  0.0000  0.0164
  2800.0     148.8   1.031  0.2701  0.6874  0.0222  0.0000  0.0203
  3080.0     159.6   1.036  0.2516  0.6896  0.0323  0.0067  0.0198
  3360.0     169.3   1.039  0.2353  0.6941  0.0361  0.0074  0.0270
  3640.0     178.1   1.041  0.2185  0.6993  0.0397  0.0079  0.0345
  3920.0     186.1   1.044  0.2014  0.7050  0.0433  0.0084  0.0419
  4200.0     193.3   1.047  0.1839  0.7113  0.0467  0.0089  0.0492
  4480.0     199.7   1.050  0.1666  0.7173  0.0501  0.0094  0.0565
  4760.0     206.4   1.053  0.1603  0.7252  0.0521  0.0092  0.0533
  5040.0     212.5   1.055  0.1545  0.7335  0.0539  0.0089  0.0493
  5320.0     217.9   1.057  0.1490  0.7413  0.0558  0.0086  0.0454
  5600.0     222.7   1.059  0.1433  0.7493  0.0576  0.0084  0.0414
  5880.0     226.8   1.062  0.1373  0.7579  0.0593  0.0081  0.0374
  6160.0     230.9   1.064  0.1318  0.7656  0.0607  0.0079  0.0341
  6440.0     239.9   1.066  0.1287  0.7683  0.0585  0.0081  0.0364
  6720.0     248.7   1.068  0.1253  0.7714  0.0562  0.0084  0.0387
  7000.0     257.4   1.070  0.1221  0.7743  0.0539  0.0087  0.0410
  7280.0     266.0   1.071  0.1188  0.7773  0.0517  0.0089  0.0433
  7560.0     274.4   1.072  0.1154  0.7804  0.0494  0.0092  0.0456
  7840.0     282.7   1.073  0.1120  0.7837  0.0470  0.0095  0.0479
  8120.0     290.9   1.074  0.1085  0.7870  0.0446  0.0097  0.0502
  8400.0     299.0   1.075  0.1049  0.7905  0.0423  0.0100  0.0524
  8680.0     306.9   1.076  0.1013  0.7940  0.0399  0.0102  0.0546
  8960.0     314.7   1.077  0.0977  0.7977  0.0374  0.0105  0.0567
  9240.0     322.3   1.077  0.0941  0.8011  0.0351  0.0107  0.0590
  9520.0     329.8   1.078  0.0906  0.8046  0.0327  0.0110  0.0612
  9800.0     337.2   1.079  0.0871  0.8080  0.0303  0.0112  0.0634
 10080.0     344.2   1.080  0.0847  0.8106  0.0299  0.0113  0.0634
 10360.0     350.9   1.081  0.0830  0.8128  0.0306  0.0113  0.0623
 10640.0     357.5   1.081  0.0814  0.8149  0.0312  0.0113  0.0613
 10920.0     363.9   1.082  0.0797  0.8171  0.0319  0.0113  0.0601
 11200.0     370.1   1.082  0.0780  0.8192  0.0325  0.0112  0.0591
 11480.0     376.2   1.083  0.0763  0.8213  0.0332  0.0112  0.0580
 11760.0     382.2   1.084  0.0747  0.8234  0.0338  0.0112  0.0569
 12040.0     387.9   1.084  0.0730  0.8256  0.0345  0.0112  0.0558
 12320.0     393.6   1.085  0.0713  0.8277  0.0351  0.0112  0.0547
 12600.0     399.1   1.085  0.0696  0.8299  0.0358  0.0112  0.0536
 12880.0     404.4   1.086  0.0680  0.8319  0.0365  0.0112  0.0525
 13160.0     409.6   1.086  0.0663  0.8340  0.0371  0.0111  0.0514
 13440.0     414.6   1.087  0.0651  0.8349  0.0381  0.0112  0.0507
 13720.0     419.4   1.087  0.0642  0.8350  0.0392  0.0113  0.0502
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     0.0   0.700   0.000   0.000
     7.0   0.701   0.000   0.000
    14.0   0.703   0.000   0.000
    21.0   0.704   0.000   0.000
    28.0   0.706   0.000   0.000
    35.0   0.707   0.000   0.000
    42.0   0.708   0.000   0.000
    49.0   0.710   0.000   0.000
    56.0   0.712   0.000   0.000
    63.0   0.715   0.000   0.000
    70.0   0.718   0.000   0.000
    77.0   0.721   0.000   0.000
    84.0   0.724   0.000   0.000
    91.0   0.726   0.000   0.000
    98.0   0.729   0.000   0.000
   105.0   0.731   0.000   0.000
   112.0   0.732   0.000   0.000
   119.0   0.734   0.000   0.000
   126.0   0.735   0.004   0.003
   133.0   0.737   0.011   0.008
   140.0   0.738   0.018   0.013
   147.0   0.739   0.025   0.018
   154.0   0.741   0.031   0.023
   161.0   0.742   0.038   0.028
   168.0   0.744   0.045   0.034
   175.0   0.745   0.052   0.039
   182.0   0.746   0.059   0.044
   189.0   0.748   0.097   0.073
   196.0   0.749   0.141   0.106
   203.0   0.751   0.185   0.139
   210.0   0.753   0.228   0.172
   217.0   0.755   0.272   0.205
   224.0   0.757   0.315   0.239
   231.0   0.759   0.359   0.273
   238.0   0.761   0.403   0.307
   245.0   0.763   0.443   0.338
   252.0   0.766   0.466   0.356
   259.0   0.768   0.488   0.375
   266.0   0.770   0.510   0.393
   273.0   0.772   0.533   0.411
   280.0   0.774   0.555   0.430
   287.0   0.776   0.578   0.448
   294.0   0.778   0.600   0.467
   301.0   0.780   0.638   0.498
   308.0   0.782   0.676   0.529
   315.0   0.785   0.713   0.560
   322.0   0.787   0.751   0.591
   329.0   0.789   0.789   0.622
   336.0   0.791   0.827   0.654
   343.0   0.793   0.865   0.686
   350.0   0.795   0.873   0.694
   357.0   0.797   0.877   0.699
   364.0   0.799   0.881   0.704
   371.0   0.801   0.885   0.709
   378.0   0.803   0.889   0.714
   385.0   0.806   0.893   0.719
   392.0   0.808   0.896   0.724
   399.0   0.810   0.900   0.729
   406.0   0.812   0.904   0.735
   413.0   0.815   0.908   0.740
   420.0   0.818   0.912   0.746
   427.0   0.821   0.916   0.752
   434.0   0.824   0.920   0.757
   441.0   0.826   0.923   0.763
   448.0   0.829   0.927   0.769
   455.0   0.832   0.931   0.775
   462.0   0.835   0.935   0.780
   469.0   0.838   0.939   0.786
   476.0   0.840   0.943   0.792
   483.0   0.843   0.947   0.798
   490.0   0.846   0.950   0.804
   497.0   0.849   0.954   0.810
   504.0   0.851   0.958   0.815
   511.0   0.853   0.962   0.820
   518.0   0.854   0.966   0.825
   525.0   0.856   0.970   0.830
   532.0   0.858   0.973   0.835
   539.0   0.860   0.977   0.840
   546.0   0.862   0.981   0.845
   553.0   0.863   0.985   0.850
   560.0   0.865   0.989   0.855
   567.0   0.867   0.990   0.858
   574.0   0.868   0.991   0.860
   581.0   0.870   0.991   0.862
   588.0   0.872   0.991   0.864
   595.0   0.874   0.992   0.866
   602.0   0.876   0.992   0.868
   609.0   0.877   0.992   0.870
   616.0   0.879   0.992   0.872
   623.0   0.881   0.993   0.874
   630.0   0.882   0.993   0.876
   637.0   0.884   0.993   0.878
   644.0   0.886   0.994   0.880
   651.0   0.888   0.994   0.883
   658.0   0.889   0.994   0.885
   665.0   0.891   0.995   0.887
   672.0   0.893   0.995   0.889
   679.0   0.895   0.995   0.891
   686.0   0.896   0.996   0.893
   693.0   0.898   0.996   0.895
   700.0   0.900   0.996   0.897
   707.0   0.902   0.997   0.899
   714.0   0.903   0.997   0.901
   721.0   0.905   0.997   0.902
   728.0   0.907   0.998   0.904
   735.0   0.908   0.998   0.906
   742.0   0.910   0.998   0.908
   749.0   0.911   0.999   0.910
   756.0   0.913   0.999   0.912
   763.0   0.915   0.999   0.914
   770.0   0.916   1.000   0.916
   777.0   0.918   1.000   0.918
   784.0   0.920   1.000   0.920
   791.0   0.921   1.000   0.921
   798.0   0.923   1.000   0.923
   805.0   0.924   1.000   0.924
   812.0   0.926   1.000   0.926
   819.0   0.928   1.000   0.928
   826.0   0.929   1.000   0.929
   833.0   0.931   1.000   0.931
   840.0   0.933   1.000   0.933
   847.0   0.934   1.000   0.934
   854.0   0.936   1.000   0.936
   861.0   0.938   1.000   0.938
   868.0   0.939   1.000   0.939
   875.0   0.941   1.000   0.941
   882.0   0.942   1.000   0.942
   889.0   0.944   1.000   0.944
   896.0   0.946   1.000   0.946
   903.0   0.947   1.000   0.947
   910.0   0.949   1.000   0.949
   917.0   0.951   1.000   0.951
   924.0   0.952   1.000   0.952
   931.0   0.954   1.000   0.954
   938.0   0.956   1.000   0.956
   945.0   0.957   1.000   0.957
   952.0   0.959   1.000   0.959
   959.0   0.960   1.000   0.960
   966.0   0.962   1.000   0.962
   973.0   0.964   1.000   0.964
   980.0   0.965   1.000   0.965
   987.0   0.967   1.000   0.967
   994.0   0.969   1.000   0.969
  1001.0   0.970   1.000   0.970
